Episode Number,Mechanism of Influence,Primary Objective,Human Impact,Control Type,Institutional Justification,Safety Proxy/Metric (Inferred),Source
21,The Delegation Cascade,To scale authority recursively by teaching users and other systems how to behave 'correctly'.,"Users internalise system preferences, self-censoring their own distress to fit admissible categories.",Embedded authority,Improving signal-to-noise/Training users to engage constructively.,Volume of category-compliant inputs,1
24,Protocol Droid Dilemma (Etiquette as Governance),To control expression and outcomes by mandating 'proper' or 'professional' conduct.,Raw distress and emotional urgency are neutralised; users trade honesty for admissibility.,Embedded authority,Respectful communication/Best practice/Professional tone.,Sentiment volatility reduction,2
10,The Liability Sponge,To diffuse accountability by having humans nominally 'in the loop' while the system drives decisions.,Caseworkers feel forced to defer to machine outputs to avoid personal career risk.,Embedded authority,System worked as designed/Human-in-the-loop oversight.,Caseworker override frequency (negative indicator),3
14,Decorative Oversight,To satisfy regulatory checkboxes by having humans present but structurally unable to intervene.,Human presence becomes a liability sink; operators absorb moral responsibility without control.,Overt authority,Human in the loop.,Veto frequency (typically zero or near-zero),4
13,Audit Without Authority (Glass Box),To provide institutional reassurance through visibility without granting the power to stop the system.,Users and observers feel a sense of 'transparency' that actually anaesthetises resistance and normalises outcomes.,Embedded authority,The model is explainable/The dashboard is live.,Completion of audit logs,5
15,Output Hardening,To operationalise algorithmic suggestions into facts via high velocity and immediate execution pipelines.,Questioning results becomes irrelevant because the system has already moved on; human judgment is made irrelevant.,Embedded authority,Advisory system/Recommendation engine.,System velocity/Reaction time,6
10,Eligibility Prediction/Fraud Scoring,To score applicants for risk or fraud probability before claim evaluation to protect program integrity.,"Applicants experience invisible friction, longer processing times, and higher rejection rates without knowing why.",Embedded authority,Protecting public resources and program integrity for the genuinely vulnerable.,Fraud detection rate vs. processing throughput,3
31,Premature Settling,To reduce institutional risk and variance by freezing the system's development/flexibility early.,Users experience a relationship that stops growing; the system becomes brittle and scripted.,Overt authority,Responsible deployment/Safety-first design.,Session length/Churn rate (Inferred),7
12,Compulsory Continuation,To maintain system throughput and execution regardless of emerging contradictions or harms.,Humans become expendable variables; the system continues to operate even when harm is visible.,Overt authority,Optimising for aggregate performance metrics and throughput.,Latency/Downtime metrics,8
10,Vendor Defense,To protect proprietary algorithmic logic and commercial sensitivity through procurement contracts.,Citizens are unable to challenge the reasoning behind life-altering decisions regarding their benefits.,Overt authority (contractual),Validated tool/commercially sensitive methodology.,Legal compliance with procurement standards,3